TimeGenerated,ResourceId,UserID,Username,Role,Action,Resource,Justification
2023-04-18 9:01:57,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U016,jacob.thomas@company.com,Developer,Revoke,Azure Logic Apps,Project completion
2023-04-18 10:39:14,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U017,isabella.moore@company.com,SysAdmin,Revoke,Azure Load Balancer,Infrastructure change
2023-04-18 12:16:28,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U018,michael.taylor@company.com,DataAnalyst,Revoke,Azure Data Factory,Role change
2023-04-18 13:52:41,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U019,emma.brown@company.com,Developer,Revoke,Azure App Service Environment,Project completion
2023-04-18 15:27:53,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U020,william.davis@company.com,SysAdmin,Revoke,Azure Firewall,Security audit
2023-04-19 8:14:06,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U021,sophia.wilson@company.com,Developer,Revoke,Azure Service Bus,Project completion
2023-04-19 9:48:19,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U022,jacob.anderson@company.com,DataAnalyst,Revoke,Azure Stream Analytics,Role change
2023-04-19 11:25:32,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U023,isabella.thomas@company.com,SysAdmin,Revoke,Azure Traffic Manager,Infrastructure change
2023-04-19 13:02:45,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U024,michael.moore@company.com,Developer,Revoke,Azure Notification Hubs,Project completion
2023-04-19 14:37:58,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U025,emma.taylor@company.com,DataAnalyst,Revoke,Azure HDInsight,Role change
2023-04-20 9:21:11,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U026,william.brown@company.com,SysAdmin,Revoke,Azure Bastion,Security audit
2023-04-20 10:56:24,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U027,sophia.davis@company.com,Developer,Revoke,Azure Event Grid,Project completion
2023-04-20 12:33:37,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U028,jacob.wilson@company.com,DataAnalyst,Revoke,Azure Data Explorer,Role change
2023-04-20 14:10:49,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U029,isabella.anderson@company.com,SysAdmin,Revoke,Azure DDoS Protection,Infrastructure change
2023-04-20 15:48:02,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U030,michael.thomas@company.com,Developer,Revoke,Azure API Management,Project completion
2023-04-21 8:03:15,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U031,emma.moore@company.com,Developer,Revoke,Azure Kubernetes Service,Project completion
2023-04-21 9:41:28,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U032,william.taylor@company.com,SysAdmin,Revoke,Azure Virtual WAN,Infrastructure change
2023-04-21 11:18:41,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U033,sophia.brown@company.com,DataAnalyst,Revoke,Azure Data Share,Role change
2023-04-21 12:55:54,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U034,jacob.davis@company.com,Developer,Revoke,Azure Static Web Apps,Project completion
2023-04-21 14:33:07,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U035,isabella.wilson@company.com,SysAdmin,Revoke,Azure Sentinel,Security audit
2023-04-22 9:16:19,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U036,michael.anderson@company.com,Developer,Revoke,Azure Spring Cloud,Project completion
2023-04-22 10:52:32,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U037,emma.thomas@company.com,DataAnalyst,Revoke,Azure Purview,Role change
2023-04-22 12:29:45,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U038,william.moore@company.com,SysAdmin,Revoke,Azure Private Link,Infrastructure change
2023-04-22 14:07:58,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U039,sophia.taylor@company.com,Developer,Revoke,Azure Communication Services,Project completion
2023-04-22 15:46:11,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U040,jacob.brown@company.com,DataAnalyst,Revoke,Azure Synapse Link,Role change
2023-04-23 8:29:23,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U041,isabella.davis@company.com,SysAdmin,Revoke,Azure Firewall Manager,Security audit
2023-04-23 10:06:36,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U042,michael.wilson@company.com,Developer,Revoke,Azure Machine Learning,Project completion
2023-04-23 11:43:49,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U043,emma.anderson@company.com,DataAnalyst,Revoke,Azure Data Bricks,Role change
2023-04-23 13:21:02,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U044,william.thomas@company.com,SysAdmin,Revoke,Azure Front Door,Infrastructure change
2023-04-23 14:58:15,/subscriptions/0ef13098-0091-4f90-823b-df2c31308c8c/resourceGroups/GmuRg1/providers/Microsoft.Storage/storageAccounts/sentinelstorage32str,U045,sophia.moore@company.com,Developer,Revoke,Azure Bot Service,Project completion
